epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6332,1.29516,1.73629,1.25407,0.53713,0.36572,0.4067,0.28129,1.33922,1.55305,1.213,0.00332667,0.00332667,0.07006
2,158.703,1.35978,1.88031,1.29458,0.48147,0.28052,0.30501,0.19873,1.48016,1.92041,1.31677,0.00600066,0.00600066,0.0394007
3,235.533,1.47768,2.172,1.37501,0.42269,0.23626,0.242,0.15659,1.54817,2.04572,1.36727,0.00801465,0.00801465,0.00808132
4,312.584,1.56912,2.35711,1.44266,0.41338,0.20129,0.20133,0.12795,1.67442,2.27223,1.46923,0.00703,0.00703,0.00703
5,387.786,1.58466,2.35837,1.45717,0.38076,0.19861,0.20078,0.12234,1.64754,2.26046,1.45481,0.00604,0.00604,0.00604
6,468.762,1.55112,2.22833,1.43891,0.35311,0.24356,0.24369,0.15663,1.6012,2.09357,1.41497,0.00505,0.00505,0.00505
7,549.434,1.50452,2.09141,1.3965,0.42608,0.2318,0.23723,0.1507,1.57105,2.05255,1.40032,0.00406,0.00406,0.00406
8,625.044,1.45826,1.9573,1.36266,0.39902,0.27938,0.26049,0.16927,1.50656,1.98354,1.34622,0.00307,0.00307,0.00307
9,704.818,1.39828,1.79952,1.32025,0.39782,0.27518,0.27997,0.1858,1.48713,1.89013,1.3291,0.00208,0.00208,0.00208
10,782.926,1.34462,1.68751,1.28532,0.37962,0.30155,0.30811,0.20425,1.45096,1.79235,1.30217,0.00109,0.00109,0.00109
