epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8417,2.46701,4.23772,2.34123,0.00026,0.02613,0.00018,5e-05,3.13721,158.997,3.77453,0.00332667,0.00332667,0.07006
2,167.093,2.58095,4.4903,2.47465,0.40346,0.01069,0.00194,0.00069,2.75317,4.59214,2.58502,0.00600066,0.00600066,0.0394007
3,243.402,2.46266,4.31374,2.36023,0.006,0.06644,0.00555,0.00217,2.54566,3.93287,2.34448,0.00801465,0.00801465,0.00808132
4,321.888,2.39116,4.15151,2.21712,0.00404,0.11211,0.00937,0.00529,2.39988,3.78373,2.18367,0.00703,0.00703,0.00703
5,399.026,2.27401,4.05092,2.15507,0.44344,0.01586,0.00929,0.00458,2.31477,3.69062,2.18604,0.00604,0.00604,0.00604
6,476.759,2.18694,3.94799,2.12509,0.00428,0.17688,0.01024,0.00545,2.23468,3.59416,2.12983,0.00505,0.00505,0.00505
7,555.416,2.11751,3.8353,2.03981,0.1613,0.11447,0.01684,0.00901,2.16299,3.52183,2.0058,0.00406,0.00406,0.00406
8,636.475,2.09065,3.74866,1.99971,0.61679,0.01546,0.01578,0.0083,2.14024,3.44575,1.99744,0.00307,0.00307,0.00307
9,716.936,2.02424,3.64315,1.95717,0.50244,0.02119,0.02117,0.01118,2.11202,3.41805,1.98856,0.00208,0.00208,0.00208
10,797.149,1.98034,3.56167,1.92146,0.58486,0.01898,0.02636,0.01383,2.04458,3.33554,1.90825,0.00109,0.00109,0.00109
