epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5191,1.19442,1.29805,1.20554,0.53143,0.39971,0.4282,0.30043,1.27946,1.40423,1.1927,3.93493e-05,3.93493e-05,3.93493e-05
2,123.968,1.17457,1.19136,1.17777,0.52642,0.4019,0.43159,0.30509,1.27848,1.40121,1.19669,7.64085e-05,7.64085e-05,7.64085e-05
3,166.107,1.1359,1.14907,1.15969,0.56275,0.40784,0.43626,0.30478,1.27456,1.38748,1.19562,0.00011085,0.00011085,0.00011085
4,208.679,1.11574,1.11982,1.15171,0.62106,0.38333,0.44177,0.31073,1.27594,1.39469,1.19604,0.000107219,0.000107219,0.000107219
5,311.34,1.09379,1.07591,1.14111,0.60361,0.40841,0.45055,0.3139,1.27297,1.36652,1.19344,0.000103292,0.000103292,0.000103292
6,392.805,1.10025,1.04509,1.13541,0.58294,0.41476,0.45448,0.3198,1.255,1.34107,1.19167,9.9365e-05,9.9365e-05,9.9365e-05
7,429.441,1.07414,1.0267,1.12311,0.57347,0.41769,0.4548,0.31894,1.26066,1.36463,1.19128,9.5438e-05,9.5438e-05,9.5438e-05
8,511.751,1.06008,0.99557,1.11498,0.588,0.41681,0.4517,0.32077,1.24919,1.3563,1.18276,9.1511e-05,9.1511e-05,9.1511e-05
9,593.999,1.04094,0.95535,1.10536,0.58497,0.41994,0.45609,0.32296,1.2722,1.36419,1.19616,8.7584e-05,8.7584e-05,8.7584e-05
10,655.515,1.04236,0.95183,1.10426,0.62834,0.41599,0.45839,0.32361,1.25337,1.34869,1.18105,8.3657e-05,8.3657e-05,8.3657e-05
11,729.47,1.03214,0.93687,1.09776,0.62906,0.41278,0.45485,0.32153,1.26077,1.36081,1.18277,7.973e-05,7.973e-05,7.973e-05
12,811.462,1.02197,0.92039,1.09079,0.59727,0.41582,0.45676,0.32262,1.25828,1.36487,1.1827,7.5803e-05,7.5803e-05,7.5803e-05
13,938.408,1.01531,0.90075,1.08901,0.61832,0.42547,0.45761,0.3235,1.26435,1.3515,1.19045,7.1876e-05,7.1876e-05,7.1876e-05
14,1002.04,1.00726,0.89409,1.08712,0.63995,0.41984,0.46093,0.32427,1.26444,1.35117,1.19744,6.7949e-05,6.7949e-05,6.7949e-05
15,1067.9,1.0005,0.87609,1.07827,0.65977,0.40564,0.45879,0.32292,1.26337,1.35174,1.19167,6.4022e-05,6.4022e-05,6.4022e-05
16,1200.83,0.99221,0.87237,1.08007,0.58134,0.41839,0.45874,0.32146,1.26075,1.3497,1.1943,6.0095e-05,6.0095e-05,6.0095e-05
17,1254.14,1.00171,0.86765,1.08186,0.61558,0.41758,0.46119,0.32807,1.26471,1.36084,1.19307,5.6168e-05,5.6168e-05,5.6168e-05
18,1290.5,0.99074,0.8505,1.07363,0.55887,0.4419,0.46157,0.32248,1.26705,1.36902,1.19615,5.2241e-05,5.2241e-05,5.2241e-05
19,1368.29,0.97412,0.82594,1.06589,0.60807,0.42979,0.46301,0.3254,1.27232,1.35397,1.19772,4.8314e-05,4.8314e-05,4.8314e-05
20,1413.74,0.97657,0.83545,1.06826,0.61056,0.42726,0.46371,0.3243,1.27441,1.36124,1.2039,4.4387e-05,4.4387e-05,4.4387e-05
21,64.6347,0.92484,0.71972,1.01827,0.61427,0.4199,0.45786,0.32064,1.27295,1.37486,1.2092,4.046e-05,4.046e-05,4.046e-05
22,101.361,0.90585,0.67846,1.00671,0.60333,0.41973,0.45754,0.32155,1.27396,1.37832,1.20443,3.6533e-05,3.6533e-05,3.6533e-05
23,137.375,0.90045,0.67107,1.00987,0.62818,0.40437,0.45701,0.32153,1.27154,1.38956,1.20362,3.2606e-05,3.2606e-05,3.2606e-05
24,172.114,0.89276,0.65985,1.0054,0.59952,0.4251,0.45467,0.32017,1.26842,1.40062,1.20118,2.8679e-05,2.8679e-05,2.8679e-05
25,206.817,0.87793,0.64161,0.99868,0.62222,0.42252,0.46058,0.32521,1.26703,1.3899,1.20297,2.4752e-05,2.4752e-05,2.4752e-05
26,241.572,0.88082,0.64348,0.99417,0.6118,0.42851,0.45949,0.32478,1.27017,1.39131,1.20652,2.0825e-05,2.0825e-05,2.0825e-05
27,277.286,0.87949,0.63765,0.99324,0.62263,0.42265,0.46051,0.32441,1.26916,1.38454,1.20753,1.6898e-05,1.6898e-05,1.6898e-05
28,312.956,0.86219,0.62143,0.98678,0.64236,0.41322,0.45752,0.32418,1.27193,1.39262,1.20785,1.2971e-05,1.2971e-05,1.2971e-05
29,347.98,0.86066,0.62,0.98581,0.62229,0.42403,0.45972,0.32437,1.27072,1.38594,1.20824,9.044e-06,9.044e-06,9.044e-06
30,382.609,0.86028,0.61876,0.98338,0.61938,0.42718,0.46106,0.32642,1.26544,1.38573,1.20315,5.117e-06,5.117e-06,5.117e-06
